type,project_id,project_name,id,label,amount,percent,due_date,actual_date,milestone_id,created_at,contract_value,contract_signed_date,expenses,expected_profit,milestone_kind,milestone_note,month,status,opening_cash,opening_cash_as_of,min_working_capital,prob_cold_lead,prob_hot_lead,prob_under_development,prob_commissioned
expense,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,795a0dec-c447-4814-b129-f365e8f3a57b,Costs · Design approval,38000,10,2026-11-01,,,,2026-08-04T18:41:00.000Z,,,,,,,,,,,,,,,
expense,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,a0c9b02e-da3a-4b70-8def-12287132523a,Costs · Engineering complete,38000,10,2026-11-01,,,,2026-08-04T18:41:00.000Z,,,,,,,,,,,,,,,
expense,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,d3862b8d-96c1-4b11-bad3-1cbeb7d9be09,Costs · FAT,38000,10,2027-04-01,,,,2026-08-04T18:41:00.000Z,,,,,,,,,,,,,,,
expense,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,ab3fecef-375a-4c58-842b-9fcaa052e450,Costs · SAT,19000,5,2027-05-01,,,,2026-08-04T18:41:00.000Z,,,,,,,,,,,,,,,
expense,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,0117940e-475c-4aa5-b656-b257b77335fb,Costs · FAC,19000,5,2027-06-01,,,,2026-08-04T18:41:00.000Z,,,,,,,,,,,,,,,
project,ffa5c116-6ce2-4653-9508-1da0bb910a53,Titan Zlatna Panega,,,,,,,,,980000,,,,,,,,,,,,,,
payment,ffa5c116-6ce2-4653-9508-1da0bb910a53,Titan Zlatna Panega,d3cfda1c-40fb-493d-bd28-df49a79609a9,,980000,100,2026-11-01,,,2026-08-04T05:09:17.831Z,,,,,,,,,,,,,,,
expense,ffa5c116-6ce2-4653-9508-1da0bb910a53,Titan Zlatna Panega,818421ec-9751-4f5d-ac9b-d27369f69141,System manufacture,380000,,2026-10-01,,,2026-08-04T05:11:39.647Z,,,,,,,,,,,,,,,
expense,ffa5c116-6ce2-4653-9508-1da0bb910a53,Titan Zlatna Panega,502541f0-e139-4a08-bb59-82acf067685b,Success fee,100000,,2026-10-01,,,2026-08-04T05:11:56.491Z,,,,,,,,,,,,,,,
project,00dfd447-c3fa-4085-b87d-c73a96520219,Brikel,,,,,,,,,142500,,,,,,,,,,,,,,
payment,00dfd447-c3fa-4085-b87d-c73a96520219,Brikel,8721bc66-6990-4b7a-ab00-21e850485a2d,,57000,40,2025-12-01,2025-12-01,2cbf1c2b-999c-4516-84bc-253b955fcc0e,2026-08-04T05:25:20.055Z,,,,,,,,,,,,,,,
payment,00dfd447-c3fa-4085-b87d-c73a96520219,Brikel,67cce710-382e-42ba-9ee1-1c8f46204c1d,,57000,40,2026-04-01,2026-04-01,4d71a542-bdce-4d3f-a3f9-90046a8ad8f6,2026-08-04T05:25:31.267Z,,,,,,,,,,,,,,,
payment,00dfd447-c3fa-4085-b87d-c73a96520219,Brikel,93ea57f6-309c-4de7-8a35-4190adbcf655,,14250,10,2026-08-01,2026-08-01,16b4b3b9-51d0-4815-995f-ade0bc7d880f,2026-08-04T05:25:38.941Z,,,,,,,,,,,,,,,
expense,00dfd447-c3fa-4085-b87d-c73a96520219,Brikel,4816c22f-56f4-4981-a4c8-8018cce3fb99,Components,115000,,2026-04-01,2026-04-01,,2026-08-04T05:24:17.091Z,,,,,,,,,,,,,,,
expense,00dfd447-c3fa-4085-b87d-c73a96520219,Brikel,5ea716af-7b71-4ffd-bc13-cc2fd35d81ba,,80000,,2026-07-15,2026-07-15,,2026-08-04T05:26:22.659Z,,,,,,,,,,,,,,,
project,ee994a13-e24f-453e-bf8f-8c43f0c1b6db,FBK,,,,,,,,,583000,,,,,,,,,,,,,,
payment,ee994a13-e24f-453e-bf8f-8c43f0c1b6db,FBK,40bcc400-c787-439f-b44e-94780173a38d,,174900,30,2026-02-02,2026-02-02,e30352de-fb84-4f14-9faa-96f945514280,2026-08-04T05:39:46.127Z,,,,,,,,,,,,,,,
payment,ee994a13-e24f-453e-bf8f-8c43f0c1b6db,FBK,c2d90f8f-2ea1-4189-9841-11f68402c709,,174900,30,2027-10-01,,b37f49c3-343a-4d73-bfde-c469f21e7462,2026-08-04T05:40:11.363Z,,,,,,,,,,,,,,,
payment,ee994a13-e24f-453e-bf8f-8c43f0c1b6db,FBK,55229b88-f6e8-41dc-befd-207de2979672,,174900,30,2027-10-22,,6c043b2a-7558-4262-93da-7cedc77f972d,2026-08-04T05:41:05.091Z,,,,,,,,,,,,,,,
payment,ee994a13-e24f-453e-bf8f-8c43f0c1b6db,FBK,26e0931e-d33b-4520-b7dc-1ca5178a5aa2,,58300,10,2027-11-30,,0ff4e688-ffc7-46b0-b7ba-02065613c085,2026-08-04T05:41:18.599Z,,,,,,,,,,,,,,,
expense,ee994a13-e24f-453e-bf8f-8c43f0c1b6db,FBK,fb169941-66bd-464b-9dc2-2463f5bcbb11,Stargate Stack Paymetn 1/2,52000,,2026-09-01,,,2026-08-04T05:43:16.281Z,,,,,,,,,,,,,,,
expense,ee994a13-e24f-453e-bf8f-8c43f0c1b6db,FBK,7201c602-0e4a-4a54-96b7-f99ab1312457,· Stargate Stack Paymetn 2/2,52000,,2026-12-01,,,2026-08-04T05:43:37.331Z,,,,,,,,,,,,,,,
project,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,,,,,,,,,8000000,,6400000,1600000,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,63817e9e-4e22-4a31-8f35-0114b16b6dc3,Prepayment,4800000,60,2026-12-01,,b9e98095-fe04-4016-958a-47c550d620cb,2026-08-04T06:19:11.411Z,,,,,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,886ff57b-51e6-433f-b34a-c714e5c3f1ef,Engineering approval,800000,10,2027-02-01,,438dce7c-76d7-4aa0-b4f8-c7d04a22af19,2026-08-04T06:22:55.232Z,,,,,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,887ac5a9-3073-43ef-9688-66e22a2fd3b3,Engineering done,800000,10,2027-03-15,,a95b0e3a-d529-40b0-b7bb-cacd0ba348e8,2026-08-04T06:23:37.313Z,,,,,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,58c4a1c7-3086-46da-bc44-053f17153724,FAT 4MW 1/2,400000,5,2028-01-04,,03080915-6989-4232-a9b0-0c037f5a4241,2026-08-04T06:25:38.965Z,,,,,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,e041b483-cfeb-4880-b12f-4ef10cd9a88f,FAT 4MW 2/2,400000,5,2028-05-15,,efced869-796b-46fa-aab0-4cde491758a7,2026-08-04T06:26:32.477Z,,,,,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,8eaf4be8-78b7-4185-9713-1a7a443c1faf,SAT 4MW 1/2,200000,2.5,2028-07-04,,31d24a73-27d8-43a5-81f3-76e5877d8bc6,2026-08-04T06:27:26.747Z,,,,,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,0a64471c-0ad5-474c-8660-b37494840d4b,SAT 4MW 2/2,200000,2.5,2028-11-04,,6258aa14-55f7-4b90-98e8-36a3f5eef1e0,2026-08-04T06:27:55.198Z,,,,,,,,,,,,,,,
payment,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,420458ea-c227-49ec-895f-a2f3fdba7f9e,FAC,400000,5,2028-12-05,,a0ed2b1c-ef92-4c53-ae52-d700437dc7f2,2026-08-04T06:28:37.770Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,c0aeeb27-eb97-42cc-9296-58cd3f98e254,Costs · Prepayment,3840000,60,2027-01-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,f5c94817-8686-48a4-80d7-0d9dc1c54e4f,Costs · Engineering approval,640000,10,2027-03-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,fadd98ee-1943-4092-b3a6-4aab11f5886e,Costs · Engineering done,640000,10,2027-04-15,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,1ef5cf1c-cc9d-418b-8760-7ecd19cea2cc,Costs · FAT 4MW 1/2,320000,5,2028-02-04,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,4d855702-63c4-4ac1-8767-904a30b094c9,Costs · FAT 4MW 2/2,320000,5,2028-06-15,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,ac241365-5509-44c6-a9ef-f55a0e8650d8,Costs · SAT 4MW 1/2,160000,2.5,2028-08-04,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,05e44880-b496-448a-be8d-b11da5692eed,Costs · SAT 4MW 2/2,160000,2.5,2028-12-04,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,140dfb68-fb1b-482c-8ba4-34d6c389028a,Metlen,da3f50aa-d922-4ebb-9c61-3a0c5499efb7,Costs · FAC,320000,5,2029-01-05,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
project,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,,,,,,,,,750000,,380000,370000,,,,,,,,,,,
payment,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,c19e1e38-b205-4dd6-9e85-0d165fce8f9b,Prepayment,450000,60,2026-11-05,,184353bc-b2da-4d45-89e2-5f5acb92b3ec,2026-08-04T07:02:12.391Z,,,,,,,,,,,,,,,
payment,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,d178e4ae-21aa-46a1-bd30-baf09edb9579,Design done,75000,10,2027-01-01,,16a049fc-3365-4740-890c-312bed713690,2026-08-04T07:04:59.459Z,,,,,,,,,,,,,,,
payment,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,831a3573-6556-4c05-b1aa-5530cbbbbe04,Engineering done,75000,10,2027-02-01,,cc57191d-525d-4fbc-8afb-ea07775cc950,2026-08-04T07:05:21.010Z,,,,,,,,,,,,,,,
payment,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,ee3cbd14-2253-4414-92db-b995067b806a,FAT,75000,10,2027-05-03,,4c33b7f2-b0e1-4b94-ad1e-64ec7c162f5f,2026-08-04T07:05:39.927Z,,,,,,,,,,,,,,,
payment,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,3f508ea1-2e44-4eba-9a1a-9cbd9fbc837d,SAT,37500,5,2027-07-01,,0b5184d5-3750-44c5-b286-16cb5cd621f8,2026-08-04T07:06:07.399Z,,,,,,,,,,,,,,,
payment,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,5a47686d-7987-4cbd-809f-289c6a0d048d,FAC,37500,5,2027-08-02,,5086c146-63f3-4131-b898-fcb60ded447a,2026-08-04T07:06:36.530Z,,,,,,,,,,,,,,,
expense,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,5317aa2d-b1ae-4ac2-96bd-a38d74aaf9aa,Costs · Prepayment,228000,60,2026-12-05,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,a95e4270-868b-431c-ba02-069e41ce0a6f,Costs · Design done,38000,10,2027-02-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,b54ea12b-b27c-4208-9344-5e45c6d120e5,Costs · Engineering done,38000,10,2027-03-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,7f08416b-9e05-4144-b58b-53ee5ef8cb34,Costs · FAT,38000,10,2027-06-03,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,3155206a-924e-465d-9091-d34c8733bc2f,Costs · SAT,19000,5,2027-08-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,fb6aa2a2-46a3-48dd-bf78-d162a7a38219,VW Poznan,7ea7219f-2579-4c20-9e65-7345c30041bc,Costs · FAC,19000,5,2027-09-02,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
project,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,,,,,,,,,300000,,190000,110000,,,,,,,,,,,
payment,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,388aded7-4ee4-474e-967a-bcc213e38673,Prepayment,180000,60,2026-12-07,,2c0cd5ad-58c4-45dc-af29-b2e8bdf5eb7e,2026-08-04T07:16:24.168Z,,,,,,,,,,,,,,,
payment,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,5bb3b285-aca2-454c-99e7-b802f347a7d9,Design approval,30000,10,2027-03-01,,1141ffec-28ef-4687-a5f4-8de86b938cf7,2026-08-04T07:16:55.429Z,,,,,,,,,,,,,,,
payment,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,022eb4e2-3e3e-4a53-86b5-f387a846f0ac,Engineering done,30000,10,2027-05-03,,fa16988e-6a63-4d3c-be53-54567f5bebe8,2026-08-04T07:17:10.620Z,,,,,,,,,,,,,,,
payment,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,e37f46d5-f777-4e19-9f59-14ff9a68ed52,FAT,30000,10,2027-10-01,,783b486b-9a11-44c1-acc7-42d71d597370,2026-08-04T07:18:10.964Z,,,,,,,,,,,,,,,
payment,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,ee2ed293-e128-41c8-8b84-050f223c97f4,SAT,15000,5,2027-11-01,,a6cdefb2-8d75-4ad4-a0f2-3ec867936a22,2026-08-04T07:18:29.483Z,,,,,,,,,,,,,,,
payment,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,90d63ae5-aed5-40dc-8ccc-4165f746d366,FAC,15000,5,2027-12-01,,8ffe8b79-9e09-481f-8552-7e786a0c5bd3,2026-08-04T07:18:39.905Z,,,,,,,,,,,,,,,
expense,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,8c07a0f6-1491-47f7-9a97-4712d2ae3e32,Costs · Prepayment,114000,60,2027-01-07,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,1ca56e0e-204c-4596-b64f-dbb9483cea8a,Costs · Design approval,19000,10,2027-04-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,d3cc07c5-4430-401f-b5b8-c7961042b87e,Costs · Engineering done,19000,10,2027-06-03,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,4c210583-b81b-477a-801a-c72e7f2918b2,Costs · FAT,19000,10,2027-11-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,300db751-b926-4e91-857f-cd55884987d7,Costs · SAT,9500,5,2027-12-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,6371ba92-ec34-41d1-94ac-e3e9dd0cde4f,UBE Spain,79a091db-b476-46e5-80f5-4cb71847e590,Costs · FAC,9500,5,2028-01-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
project,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,,,,,,,,,7500000,,2000000,5500000,,,,,,,,,,,
payment,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,be8ceeae-fa0c-4ec1-b984-78871f4adc6c,Prepayment,4500000,60,2026-11-02,,9a24c164-6294-42de-958c-06030bb546b0,2026-08-04T07:50:02.511Z,,,,,,,,,,,,,,,
payment,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,b930e09d-6200-431c-b0c1-1d65b78edd52,Design approval,750000,10,2027-03-01,,9de12942-b5ad-4c22-a872-43ca34a14900,2026-08-04T07:50:34.925Z,,,,,,,,,,,,,,,
payment,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,79141cf6-d285-4ca3-9d21-b4a3da79b769,Engineering Done,750000,10,2027-04-01,,ec288437-dbec-4e73-9c8c-0ff0e82739cf,2026-08-04T07:51:04.416Z,,,,,,,,,,,,,,,
payment,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,6514fae8-2d42-4618-adab-dfa96b740af0,FAT,750000,10,2028-03-01,,b33b89b8-cd58-4308-8270-5df4ce7093f9,2026-08-04T07:51:43.947Z,,,,,,,,,,,,,,,
payment,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,67f3cfe7-6fb5-48b0-9990-3d6945ce9ad1,SAT,375000,5,2028-04-03,,ae1d7fb7-9b1e-4749-9a1c-04b2521076a1,2026-08-04T07:51:59.207Z,,,,,,,,,,,,,,,
payment,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,6c999119-d4eb-408f-97ac-45125c46e790,FAC,375000,5,2028-05-01,,28c2b51f-d309-432d-b884-4a6ac2512fe2,2026-08-04T07:52:18.384Z,,,,,,,,,,,,,,,
expense,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,5c23fb13-60a2-4600-8c78-c793e4be9f0c,Costs · Prepayment,1200000,60,2026-12-02,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,fadf87a6-00d4-4942-b152-bdb37778aefd,Costs · Design approval,200000,10,2027-04-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,a9e8af8f-6658-4d75-8005-fc50f88050e2,Costs · Engineering Done,200000,10,2027-05-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,a42f1374-ebce-4f09-a378-e82e99129c5b,Costs · FAT,200000,10,2028-04-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,32cde61a-fb16-4d84-819e-5840fdbf98fc,Costs · SAT,100000,5,2028-05-03,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
expense,63dc26f0-58e3-4160-9619-c9dcabe33e7e,5MW BoP/BoS Ushgorod with N1,6002edc1-77c7-482b-855a-254da0e04f97,Costs · FAC,100000,5,2028-06-01,,,2026-08-04T21:02:00.000Z,,,,,,,,,,,,,,,
project,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,,,,,,,,,1000000,,520000,480000,,,,,,,,,,,
payment,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,326ca741-fa4e-4575-b986-7fb39e6ef994,Prepayment,700000,70,2026-10-05,,a875cec1-4dc7-446f-91f0-573fdcecbb04,2026-08-04T08:45:38.161Z,,,,,,,,,,,,,,,
payment,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,7d2f4ede-2ef3-4aeb-9795-521f1002c32a,Design approval,100000,10,2026-11-04,,6c14fda1-a9d4-454d-9008-7528d2abbb6b,2026-08-04T08:46:34.316Z,,,,,,,,,,,,,,,
payment,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,c8932c18-abeb-4977-8eda-742ee9bb414b,Engineering done,100000,10,2026-12-01,,08783ef1-2fe1-47f1-9ccb-033336fcb456,2026-08-04T08:46:50.675Z,,,,,,,,,,,,,,,
payment,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,ff7350bb-b95b-43a9-89ce-74803a0815de,FAT,100000,10,2027-02-01,,752aca25-64d9-4711-9bff-c4c5ba3f1779,2026-08-04T08:47:29.071Z,,,,,,,,,,,,,,,
payment,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,2b8d8e31-7619-44c8-a61a-e8391b11395b,SAT,50000,5,2027-03-01,,8184145e-90e5-4d4f-8937-5b3fd988b524,2026-08-04T08:48:07.333Z,,,,,,,,,,,,,,,
payment,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,38cafe2b-3c7a-4240-89c3-0f6fa92b2b48,FAC,50000,5,2027-04-01,,4e0fa992-f8c1-41cf-a3cc-1c437670b855,2026-08-04T08:48:26.400Z,,,,,,,,,,,,,,,
expense,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,917fd05b-5f40-48ab-a577-88e4d1b9775c,Costs · Prepayment,330909,63.64,2026-11-05,,,2026-08-04T21:14:00.000Z,,,,,,,,,,,,,,,
expense,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,8310c54c-32c4-4c64-83be-af8ae20a55ec,Costs · Design approval,47273,9.09,2026-12-04,,,2026-08-04T21:14:00.000Z,,,,,,,,,,,,,,,
expense,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,eaf99ff9-5c9c-42a6-901d-af11383fcea5,Costs · Engineering done,47273,9.09,2027-01-01,,,2026-08-04T21:14:00.000Z,,,,,,,,,,,,,,,
expense,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,d2bb0c5d-a781-4463-8647-2ccae06c5c32,Costs · FAT,47273,9.09,2027-03-01,,,2026-08-04T21:14:00.000Z,,,,,,,,,,,,,,,
expense,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,32b26090-2645-435d-84e2-3a7b81a3d423,Costs · SAT,23636,4.55,2027-04-01,,,2026-08-04T21:14:00.000Z,,,,,,,,,,,,,,,
expense,5b8c0672-de99-4b4d-a05f-043e2643a5c4,Burkhard H2 Bus Fueling Station,eb2f4d40-e6f8-483c-bb2d-a88161607a29,Costs · FAC,23636,4.55,2027-05-01,,,2026-08-04T21:14:00.000Z,,,,,,,,,,,,,,,
project,e021f65c-b418-4103-abe0-e6e0b3b31424,Interbudkomplex Nuclear Power Plant in Ukraine,,,,,,,,,496000,,200000,296000,,,,,,,,,,,
payment,e021f65c-b418-4103-abe0-e6e0b3b31424,Interbudkomplex Nuclear Power Plant in Ukraine,efd139f0-899b-482a-aba2-77e6adb9b95a,Prepayment,297600,60,2027-03-20,,1b7c9990-f144-4e69-8faa-eba439f978e2,2026-08-04T11:35:23.171Z,,,,,,,,,,,,,,,
payment,e021f65c-b418-4103-abe0-e6e0b3b31424,Interbudkomplex Nuclear Power Plant in Ukraine,8eebac6b-3707-4c26-ab81-3b6527b7d703,Design approval,49600,10,2027-04-20,,e9b50aa5-d997-4377-8c1c-102e800e4f98,2026-08-04T11:35:50.564Z,,,,,,,,,,,,,,,
payment,e021f65c-b418-4103-abe0-e6e0b3b31424,Interbudkomplex Nuclear Power Plant in Ukraine,318478ac-9dd7-475e-a67f-b4f3388181f1,Engineering done,49600,10,2027-05-20,,c3f8f668-992d-415d-a8b7-08c6a84b204a,2026-08-04T11:38:02.369Z,,,,,,,,,,,,,,,
payment,e021f65c-b418-4103-abe0-e6e0b3b31424,Interbudkomplex Nuclear Power Plant in Ukraine,3c078b34-0b35-46e8-9b44-57538f1f8479,FAT,49600,10,2027-07-20,,7e83092c-58ff-4d85-a436-68a68c06500a,2026-08-04T11:39:10.657Z,,,,,,,,,,,,,,,
