__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,ACCNUMBER,ACCNUMBERSTR,ACCNAME,ISACTIVE,ISPASIVE,ISTRANSIT,ISGROUP,ENABLED
1612,1,1,601,221,221,Инвестиции в дъщерни предприятия,1,0,0,0,1
1612,2,1,602,222,222,Инвестиции в асоциирани предприятия,1,0,0,0,1
1612,3,1,603,223,223,Държавни ценни книжа,1,0,0,0,1
1612,4,1,604,224,224,Инвестиционни имоти,1,0,0,0,1
1612,5,1,605,225,225,Инвестиции в смесени предприятия,1,0,0,0,1
1612,6,1,606,226,226,Финансови активи дъжани до настъпване на падежа,1,0,0,0,1
1612,7,1,607,227,227,Финансови активи обявени за продажба,1,0,0,0,1
1612,8,1,608,227,227,Финансови активи заложени като обеспечение,1,0,0,0,1
1612,9,1,609,229,229,Други дългосрочни фин. активи,1,0,0,0,1
1612,10,1,650,23,23,Търговска репутация,0,0,0,1,1
1612,11,1,651,231,231,Положителна търговска репутрация,1,0,0,0,1
1612,12,1,652,232,232,Отрицателна търговска репутрация,0,1,0,0,1
1612,13,1,700,24,24,Амортизация,0,0,0,1,1
1612,14,1,701,241,241,Амортизация на дълготрайни материални активи,0,1,0,0,1
1612,15,1,702,242,242,Амортизация на дълготрайни нематериални активи,0,1,0,0,1
1612,16,1,800,26,26,Дългосрочни вземания и предоставени заеми,0,0,0,1,1
1612,17,1,801,262,262,Дългосрочни вземания и предоставени заеми на нефин. предприятия,1,0,0,0,1
1612,18,1,802,263,263,Просрочени дългосрочни вземания и предоставени заеми,1,0,0,0,1
1612,19,1,803,264,264,Дългосрочни вземания и предоставени заеми заложени като обезпечение,1,0,0,0,1
1612,20,1,804,269,269,Други дългосрочни вземания и предоставени заеми,1,0,0,0,1
1612,21,1,820,26,26,Дълготрайни биологични активи,0,0,0,1,1
1612,22,1,821,271,271,Гори,1,0,0,0,1
1612,23,1,822,272,272,Трайни насаждения плододаващи,1,0,0,0,1
1612,24,1,823,273,273,Трайни насаждения неплододаващи,1,0,0,0,1
1612,25,1,824,274,274,Животни в основни стада,1,0,0,0,1
1612,26,1,829,279,279,Други дълготрайни биологични активи,1,0,0,0,1
1612,27,1,850,30,30,Материали  продукция и стоки,0,0,0,1,1
1612,28,1,851,301,301,Доставки,1,0,0,0,1
1612,29,1,852,302,302,Материали,1,0,0,0,1
1612,30,1,853,303,303,Продукция,1,0,0,0,1
1612,31,1,854,304,304,Стоки,1,0,0,0,1
1612,32,1,855,305,305,Изпратени стоки и предадени работи,1,0,0,0,1
1612,33,1,900,31,31,Краткотрайни биологочни активи,0,0,0,1,1
1612,34,1,901,311,311,Млади животни,1,0,0,0,1
1612,35,1,902,312,312,Животни за угояване,1,0,0,0,1
1612,36,1,903,313,313,Дербни продуктивни животни,1,0,0,0,1
1612,37,1,904,314,314,Птици основни стада,1,0,0,0,1
1612,38,1,905,315,315,Пчелни семеиства,1,0,0,0,1
1612,39,1,906,316,316,Животни за експериментални цели,1,0,0,0,1
1613,0,1,909,319,319,Други биологични активи,1,0,0,0,1
1613,1,1,950,40,40,Доставчици и свързани с тях сметки,0,0,0,1,1
1613,2,1,951,401,401,Доставчици,0,1,0,0,1
1613,3,1,952,402,402,Доставчици по аванси,0,1,0,0,1
1613,4,1,953,403,403,Доставчици по търговски кредити,0,1,0,0,1
1613,5,1,954,404,404,Доставчици по доставки при определени условия,0,1,0,0,1
1613,6,1,955,406,406,Доставчици по доставки със свързани лица,0,1,0,0,1
1613,7,1,959,409,409,Други разчети с доставчици,0,1,0,0,1
1613,8,1,1000,41,41,Клиенти и свързани с тях сметки,0,0,0,1,1
1613,9,1,1001,411,411,Клиенти,1,0,0,0,1
1613,10,1,1002,412,412,Клиенти по аванси,0,1,0,0,1
1613,11,1,1003,413,413,Клиенти по търговски кредити,0,1,0,0,1
1613,12,1,1004,414,414,Клиенти по продажби при определени условия,1,0,0,0,1
1613,13,1,1006,416,416,Клиенти по продажби със свързани лица,1,0,0,0,1
1613,14,1,1009,419,419,Други разчети с клиенти,1,0,0,0,1
1613,15,1,1050,42,42,Персонал и съдружници,0,0,0,1,1
1613,16,1,1051,421,421,Персонал,0,1,0,0,1
1613,17,1,1052,422,422,Подотчетни лица,1,0,0,0,1
1613,18,1,1053,423,423,Задължения по неизлзвани отпуски,0,1,0,0,1
1613,19,1,1054,424,424,Вземания от съучастия,1,0,0,0,1
1613,20,1,1055,425,425,Задължения за съучастия,0,1,0,0,1
1613,21,1,1056,426,426,Вземания по записани дялови вноски,0,1,0,0,1
1613,22,1,1059,429,429,Други разчети с персонала и съдружниците,0,1,0,0,1
1613,23,1,1150,44,44,Вземания по липси  начети и съдебни спорове,0,0,0,1,1
1613,24,1,1151,441,441,Вземания по рекламации,1,0,0,0,1
1613,25,1,1152,442,442,Вземания по липси и начети,1,0,0,0,1
1613,26,1,1153,443,443,Ценови разлики по липси и начети,1,0,0,0,1
1613,27,1,1154,444,444,Вземания по съдебни спорове,1,0,0,0,1
1613,28,1,1155,445,445,Присъдени вземания,1,0,0,0,1
1613,29,1,1200,45,45,Разчети с бюджтни ведомства,0,0,0,1,1
1613,30,1,1201,451,451,Разчети с общините,1,1,0,0,1
1613,31,1,1202,452,452,Разчети за данък върху печалбата,1,1,0,0,1
1613,32,1,1203,453,453,Разчети за данък върху добавената стойност,1,1,0,0,1
1613,33,1,1204,454,454,Разчети за данъци върху доходи на физически лица,0,1,0,0,1
1613,34,1,1205,455,455,Разчети за социално осигуряване,1,1,0,0,1
1613,35,1,1206,456,456,Разчети за акцизи,1,1,0,0,1
1613,36,1,1207,457,457,Разчети с митници,1,1,0,0,1
1613,37,1,1209,459,459,Други разчети с бюджета и с ведомства,0,1,0,0,1
1613,38,1,1250,46,46,Разчети с осигурители,0,0,0,1,1
1613,39,1,1251,461,461,Разчети с националния осигурителен институт,0,1,0,0,1
1614,0,1,1252,462,462,Разчети добраволно социално осигуряване,0,1,0,0,1
1614,1,1,1253,463,463,Разчети за здравно осигуряване,0,1,0,0,1
1614,2,1,1254,464,464,Разчети еднократни помощи,0,1,0,0,1
1614,3,1,1259,469,469,Разчети с осигурители,0,1,0,0,1
1614,4,1,1400,49,49,Разни дебитори и кредитори,0,0,0,1,1
1614,5,1,1401,491,491,Доверители,0,1,0,0,1
1614,6,1,1402,492,492,Разчети за гаранции,0,1,0,0,1
1614,7,1,1403,493,493,Разчети за такси,0,1,0,0,1
1614,8,1,1404,494,494,Разчети за преведени суми за разходи по поръчение,0,1,0,0,1
1614,9,1,1405,495,495,Разчети по застраховане,0,1,0,0,1
1614,10,1,1406,496,496,Разчети по лихви,0,1,0,0,1
1614,11,1,1407,497,497,Разчети по данъчни временни разлики,0,1,0,0,1
1614,12,1,1408,498,498,Други дебитори,1,0,0,0,1
1614,13,1,1409,499,499,Други кредитори,0,1,0,0,1
1614,14,1,1450,50,50,Парични средства,0,0,0,1,1
1614,15,1,1451,501,501,Каса в левове,1,0,0,0,1
1614,16,1,1452,502,502,Каса във валута,1,0,0,0,1
1614,17,1,1453,503,503,Разплащателна сметка в левове,1,0,0,0,1
1614,18,1,1454,504,504,Разплащателна сметка във валута,1,0,0,0,1
1614,19,1,1455,505,505,Акредитиви в левове,1,0,0,0,1
1614,20,1,1456,506,506,Акредитиви във валута,1,0,0,0,1
1614,21,1,1457,507,507,Предоставени депозити,1,0,0,0,1
1614,22,1,1458,508,508,Разплащателни чекове,1,0,0,0,1
1614,23,1,1459,509,509,Други парични средства,1,0,0,0,1
1614,24,1,1500,51,51,Краткосрочни инвестиции,0,0,0,1,1
1614,25,1,1501,511,511,Финансови активи държани за търгуване,1,0,0,0,1
1614,26,1,1502,512,512,Изкупени собствени акции,1,0,0,0,1
1614,27,1,1503,513,513,Финансови активи заложени като обеспечение,1,0,0,0,1
1614,28,1,1504,514,514,Изкупени собствени облигации,1,0,0,0,1
1614,29,1,1505,515,515,Държавни ценни книжа,1,0,0,0,1
1614,30,1,1506,516,516,Благородни метали и скъпоценни камъни,1,0,0,0,1
1614,31,1,1507,519,519,Други карткосрачни финансови активи,1,0,0,0,1
1614,32,1,1550,52,52,Краткосрочни вземания и заеми,0,0,0,1,1
1614,33,1,1552,522,522,Краткосрачни вземания и заеми от нефин. предприятия,1,0,0,0,1
1614,34,1,1553,523,523,Просрочени краткосрочни вземиния и  заеми,1,0,0,0,1
1614,35,1,1554,524,524,"Краткосрочни вземания и заеми, заложени като обесщетение",1,0,0,0,1
1614,36,1,1559,529,529,Други краткосрочни вземания и заеми,1,0,0,0,1
1614,37,1,1750,60,60,Разходи по икономически елементи,0,0,0,1,1
1614,38,1,1751,601,601,Разходи за материали,1,0,0,0,1
1614,39,1,1752,602,602,Разходи за външни услуги,1,0,0,0,1
1614,40,1,1753,603,603,Разходи за амортизации,1,0,0,0,1
1615,0,1,1754,604,604,Разходи за заплати,1,0,0,0,1
1615,1,1,1755,605,605,Разходи за осигуровки,1,0,0,0,1
1615,2,1,1756,606,606,"Разходи за данаци, такси и други плащания",1,0,0,0,1
1615,3,1,1757,607,607,Разходи за провизии,1,0,0,0,1
1615,4,1,1758,608,608,Разходи от последеваща оценка на активи,1,0,0,0,1
1615,5,1,1759,609,609,Други разходи,1,0,0,0,1
1615,6,1,1800,61,61,Разходи за дейността,0,0,0,1,1
1615,7,1,1801,611,611,Разходи за основна дейност,1,0,0,0,1
1615,8,1,1802,612,612,Разходи за спомагателна дейност,1,0,0,0,1
1615,9,1,1803,613,613,Разходи за придобиване на ДМА,1,0,0,0,1
1615,10,1,1804,614,614,Административни разходи,1,0,0,0,1
1615,11,1,1805,615,615,Разходи за продажба на продукция,1,0,0,0,1
1615,12,1,1806,616,616,Разходи за ликвидация на ДМА,1,0,0,0,1
1615,13,1,1850,62,62,Финансови разходи,0,0,0,1,1
1615,14,1,1851,621,621,Разходи за лихви,1,0,0,0,1
1615,15,1,1852,622,622,Разходи по оперирации с фин. активи,1,0,0,0,1
1615,16,1,1853,623,623,Разходи по операции с инвестиции,1,0,0,0,1
1615,17,1,1854,624,624,Разходи по валутни операции,1,0,0,0,1
1615,18,1,1855,625,625,Разходи последваща оценки на фин. активи,1,0,0,0,1
1615,19,1,1856,629,629,Други финансови разходи,1,0,0,0,1
1615,20,1,1900,63,63,Загуби разходи от обезценка,0,0,0,1,1
1615,21,1,1901,631,631,Загуби (разходи) от обезценка,1,0,0,0,1
1615,22,1,1950,65,65,Разходи за бъдещи периоди,0,0,0,1,1
1615,23,1,1951,651,651,Неофин. разходи забъдещи периоди,1,0,0,0,1
1615,24,1,1952,652,652,Фин. Разходи за бъдещи периоди,1,0,0,0,1
1615,25,1,2150,69,69,Извънредни разходи,0,0,0,1,1
1615,26,1,2151,691,691,Извъбредни разходи,1,0,0,0,1
1615,27,1,2200,70,70,Приходи от продажби,0,0,0,1,1
1615,28,1,2201,701,701,Приходи от продажби на продукция,0,1,0,0,1
1615,29,1,2202,702,702,Приходи от продажби на стоки,0,1,0,0,1
1615,30,1,2203,703,703,Приходи от продажби на услуги,0,1,0,0,1
1615,31,1,2205,705,705,Приходи от финансирания,0,1,0,0,1
1615,32,1,2207,707,707,Приходи от продажба на ДМА,0,1,0,0,1
1615,33,1,2208,708,708,Приходи от продажба на материали,0,1,0,0,1
1615,34,1,2209,709,709,Приходи от други продажби,0,1,0,0,1
1615,35,1,2300,72,72,Финансови приходи,0,0,0,1,1
1615,36,1,2301,721,721,Приходи от лихви,0,1,0,0,1
1615,37,1,2302,722,722,Приходи от дялово участие,0,1,0,0,1
1615,38,1,2303,723,723,Приходи от операции с инвестиции,0,1,0,0,1
1615,39,1,2304,724,724,Приходи от валутни операции,0,1,0,0,1
1615,40,1,2305,725,725,Последваща оценка на фин. активи,0,1,0,0,1
1616,0,1,2306,726,726,Приходи от реинтегрирани провизии,0,1,0,0,1
1616,1,1,2309,729,729,Други финансови приходи,0,1,0,0,1
1616,2,1,2350,73,73,Приходи от въстановяване загуби от обезценка,0,0,0,1,1
1616,3,1,2351,731,731,Приходи от въстановяване загуби от обезценка,0,1,0,0,1
1616,4,1,2450,75,75,Приходи за бъдещи периоди,0,0,0,1,1
1616,5,1,2451,751,751,Нефин. приходи за бъдещи периоди,0,1,0,0,1
1616,6,1,2452,752,752,Фин. приходи бъдещи периоди,0,1,0,0,1
1616,7,1,2453,753,753,Финансиране за дълготрайни активи,0,1,0,0,1
1616,8,1,2456,759,759,Финансиране текуща деиност,0,1,0,0,1
1616,9,1,2600,79,79,Извънредни приходи,0,0,0,1,1
1616,10,1,2601,791,791,Извънредни приходи,0,0,0,0,1
1616,11,1,2700,91,91,Чужди материални и нематериални активи,0,0,0,1,1
1616,12,1,2701,911,911,Чужди материални и нематериални активи предоставени като обезпечение,0,0,0,0,1
1616,13,1,2702,912,912,Наети чужди активи,0,0,0,0,1
1616,14,1,2703,913,913,Чужди материални активи получени по консигнационен договор,0,0,0,0,1
1616,15,1,2704,914,914,Документи под особена отчетност,0,0,0,0,1
1616,16,1,2705,915,915,"Нефинансови ценности, приети на съхранение",0,0,0,0,1
1616,17,1,2900,93,93,Дебитори по условни вземания,0,0,0,1,1
1616,18,1,2901,931,931,Отписани непогасени вземания,0,0,0,0,1
1616,19,1,2902,932,932,Дебитори по операции за инкасиране,0,0,0,0,1
1616,20,1,3200,95,95,Кредитори по условни вземания,0,0,0,1,1
1616,21,1,3201,951,951,Гаранции и други подобни непредвидени вземания,0,0,0,0,1
1616,22,1,3500,98,98,Разни сметки за условни активи,0,0,0,1,1
1616,23,1,3501,981,981,Сметки по резерви,0,0,0,0,1
1616,24,1,3502,982,982,Сметки по изискуеми обеспечения,0,0,0,0,1
1616,25,1,3503,983,983,Ангажименти по разрешени кредити,0,0,0,0,1
1616,26,1,3504,984,984,Разни статестически сметки,0,0,0,0,1
1616,27,1,3509,989,989,Други сметки за условни активи,0,0,0,0,1
1616,28,1,3510,980,980,Разни активни задбалансови сметки,0,0,0,0,1
1616,29,1,3600,99,99,Разни сметки за условни пасиви,0,0,0,1,1
1616,30,1,3601,991,991,Други сметки за условни пасиви,0,0,0,0,1
1616,31,1,3050,99,99,Разни пасивни задбалансови сметки,0,0,0,1,1
1616,32,1,3051,990,990,Разни пасивни задбалансови сметки,0,0,0,0,1
