__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,OFFICE_ID,SKLAD,GRUPA,STOKA,SER_NO,OLD_VALUTA,OLD_CENA,NEW_VALUTA,NEW_CENA,OLD_VALUE,NEW_VALUE
5452,13,1,2688,2,,Демистрър,Ос за демистър,,,,,,,-
5452,14,1,2891,2,,М5,"самопробивен винт цинк  М5,5х32",,,,,,07504 0071 55 70,07504 0071 55 32
5452,15,1,2949,2,,Camozzi,ъглова връзка 1500 8/6х1/4,,,,,,1500,X1500
5452,16,1,2977,2,,Електроника,Контактор 30kW/65A,,,,,,LTD26533--,LTD26533
5452,17,1,2981,2,,Schrack,прекъсвач C43,,,,,,C25/3,C43/3
5452,18,1,2987,2,,Schrack,прекъсвач C63/3,,,,,,C6/3,C63/3
5452,19,1,2991,2,,Schrack,прекъсвач С10/3,,,,,,С10/3,D10/3
5452,20,1,3091,2,,Фитинги 316,Преход м/ж 1 1/4-1/2,,,,,,X1510 8/6-1/4,102117
5452,21,1,3162,2,,Кранове,Valve 3PC full bore ball (welded ends) 1````,,,,,,5628 06 51,2026 06
5452,22,1,3163,2,,Кранове,Valve 2PC full bore ball (flanges ends) 1`` with,,,,,,,5628 06 51
5452,23,1,3262,2,,Ивда Гео,"Кабел ШВПС 2х0,75, бял",,,,,,-,644
5452,24,1,3263,2,,Ивда Гео,"Кабел ШВПС 3х0,75, бял",,,,,,-,24337
5452,25,1,3270,2,,Schrack,"МАП AMPARO 6kA, C10/1",,,,,,С10/1,AM617110
5452,26,1,3393,2,,Филипекс,Ламарина 316L - 3х1250х2500,,,,,,721431,
5452,27,1,3394,2,,Филипекс,Ламарина 316L - 3х1250х2500,,,,,,,-
5452,28,1,3717,2,,Заваръчни връзки 500,"Концентричен намалител (60,3х33,7х2) 2``-1``",,,,,,,-
5452,29,1,3823,2,,Устройства,Захранване 275 kW,,,,,,GA-2500A/110V-SCR6,GA-2500A/ 110V-SCR6
5452,30,1,4197,2,,Кабели и накрайници,"Кабелен накрайник дв., 8мм, 2х0.5мм",,,,,,,BGH270778
5452,31,1,4206,2,,Кабели и накрайници,Изолирбанд черен 19ммх25мм,,,,,,BGH2639902,BGH263902
5452,32,1,4207,2,,Кабели и накрайници,"Обувка изол. М6, 0.25-1.5мм",,,,,,BGH260262,BGH260260
5452,33,1,4315,2,,Метални компоненти,Материал за фитинги - шестостен S22,,,,,,-,041106-009
5452,34,1,4316,2,,Метални компоненти,"Прът неръжд.304, ф35",,,,,,1.4301,041100-035
6456,0,1,4319,2,,Фитинги 316,"холендер PTFE ж/ж, зав. 1`",,,,,,9594941,952976
6456,1,1,4962,2,,Кабелни канали 500,Капак за ъгъл 90° за кабелна скара 100,,,,,,RAW 60.100,RESCD 150S
6456,2,1,5234,2,,Електроника,захранване за DIN шина SDR-120-24 24V/5A,,,,,,SDR-120-24,2080
6456,3,1,5662,2,,Кранове.,Valve 3PC full bore ball (welded ends) 1````,,,,,,2026 06,2027 06
6456,4,1,5686,2,,Кабелни Канали,"Ъгъл 90° за каб. скара, 60х152мм",,,,,,,RESC 60.150S
6456,5,1,5792,2,,Електроника,Платка GI1UZDV8-,,,,,,,HT44690
6456,6,1,5801,2,,Електроника,"Шина земя 1m, 10mm",,,,,,,IK020014
6456,7,1,5809,2,,Електроника,"Клема WAGO 221-2411, 1x4mm.",,,,,,,BGVT2215
6456,8,1,6035,2,,Електтролизьор,"Полипропиленова тръба ф63, топла вода",,,,,,-,--
6456,9,1,6036,2,,Електтролизьор,"Полипропиленова тръба ф63, студена вода",,,,,,-,---
6456,10,1,6037,2,,Ивда Гео,Коляно 90° ф32,,,,,,-,
6456,11,1,6039,2,,Кранове.,сферичен кран VP704000 3/4` - DN20,,,,,,VP704000,VP7040000
6456,12,1,6040,2,,Кранове.,"сферичен кран със задвижкa, зав.",,,,,,56370651,563706511
6456,13,1,6041,2,,Цех,"сферичен кран със задвижкa, зав. 56370651 модел",,,,,,56370651,56370651a
6456,14,1,6042,2,,Цех,сферичен кран със задвижка 56210651,,,,,,56210651,56210651а
6456,15,1,6043,2,,Нарязани перфорирани ламарини,Малък кръг перф.ламарина,,,,,,-,
6456,16,1,6044,2,,Кабели и накрайници.,"Кабелен накрайник дв. 8mm 2x0,5mm",,,,,,BGH270778,BGH270778-
6456,17,1,6045,2,,Електроника,Съединители 3,,,,,,MJ6,MJ6-
6456,18,1,6046,2,,Редко,Кабелна обувка 50х8,,,,,,V981927K50080,V981927K50080-
6456,19,1,6047,2,,Светлю Шишков,"Буферен съд 100л, ф500",,,,,,-,
6456,20,1,6048,2,,Кабели и накрайници.,Кабел 70кв. червен HO7V-K,,,,,,05.01.02.00100,05.01.02.001000
6456,21,1,6049,2,,Кабели и накрайници.,Кабел 70кв. черен HO7V-K,,,,,,05.01.02.00099,05.01.02.00099-
6456,22,1,6050,2,,Кабели и накрайници.,Кабел 70кв. червен HO7V-K,,,,,,05.01.02.001000,05.01.02.00100-
6456,23,1,6051,2,,Нирстрой,"Поцинкована ламарина 2000/1000/1,0",,,,,,-,
6456,24,1,6052,2,,stoki bez grupa,Силика гел,,,,,,-,
6456,25,1,6053,2,,stoki bez grupa,Цилиндър ПП,,,,,,-,
6456,26,1,6054,2,,Заваръчни Връзки,Добавка/ос за демистър ф4,,,,,,-,
6456,27,1,6055,2,,Демистрър 500,Разпробита капа,,,,,,-,
6456,28,1,6056,2,,Демистрър 500,"Вътрешна част(гъба,кръст,ос)",,,,,,-,
6456,29,1,6057,2,,Метални елементи,"Профилна тръба Е3 20х20х1,5",,,,,,940115,940115-
6456,30,1,6058,2,,кабелни магистрали,шпилка 009575 1000 16 2000 М16х2000,,,,,,009575 1000 16 2000,009575 1000 16 2000-
6456,31,1,6060,2,,Консумативи,Градински маркуч 25 мм,,,,,,-,
6456,32,1,6071,2,,Тръби.,Тръба инж. ст 304 (219.1х2),,,,,,93810,074100
6762,0,1,6110,2,,Консумативи,Скоби  водни съединения,,,,,,-,25x40
6762,1,1,6144,2,,М12,"Федер шайба цинк, М12",,,,,,00127 0021 12,00127 0021 12-
6762,2,1,6148,2,,М12,болт цинк  М12х25,,,,,,00933 8801 12 25,00933 8801 12 25-
6762,3,1,6153,2,,М12,гайка цинк М12,,,,,,00934 8001 12,00934 8001 12-
6762,4,1,6156,2,,М12,шайба цинк  М12,,,,,,00125 0001 12,00125 0001 12-
6762,5,1,6162,2,,М16,болт цинк  М16х45,,,,,,00933 8801 16 45,00933 8801 16 45-
6762,6,1,6166,2,,М16,"гайка самоосигурителна, як.10, цинк М16",,,,,,00985 1001 16,00985 1001 16-
6762,7,1,6171,2,,М16,шайба цинк  М16,,,,,,00125 0001 16,00125 0001 16-
6762,8,1,6201,2,,М6,болт цинк М6х70,,,,,,00933 8801 6 70,00933 8801 6 70-
6762,9,1,6208,2,,М6,шайба цинк  М6,,,,,,00125 0001 6,00125 0001 6-
6762,10,1,6212,2,,М8,болт цинк  М8х16,,,,,,00933 8801 8 16,00933 8801 8 16-
6762,11,1,6217,2,,М8,гайка цинк М8,,,,,,00934 8001 8,00934 8001 8-
6762,12,1,6220,2,,М8,шайба цинк М8,,,,,,00125 0001 8,00125 0001 8-
6762,13,1,6225,2,,Крепежи.,Скоба за тръба 1 1/2`,,,,,,-,
6762,14,1,6234,2,,Консумативи,"Скоба 1/2`, 12-20мм",,,,,,12-20,4078500719100
6762,15,1,6242,2,,Фитинги на резба,Холендър 316L вътрешнa резбa 150LBS 1/2``,,,,,,101324,100304
6762,16,1,6246,2,,Други,"Шлаух полиамид, бял 15/12,5",,,,,,"TRN 15/12,5","TRN 15/12,5--"
6762,17,1,6291,2,,Заваръчни Връзки,"Коляно 90o 304L заварка (33,7х2) 1``",,,,,,106306,106306-
6762,18,1,6293,2,,Фланцови Връзки,Фланец плосък 304 T8 PN16 DN25,,,,,,102936,102936-
6762,19,1,6297,2,,Фланцови Връзки,Фланец плосък 304 T10 PN16 DN50,,,,,,102939,102939-
6762,20,1,6299,2,,Фланцови Връзки,Фланец плосък 304 T10 PN16 DN40,,,,,,102938,102938-
6762,21,1,6329,2,,Електтролизьор,Пружинни шайби Китай 112х57х4mm,,,,,,-,60Si2MnA
6762,22,1,6357,2,,Метални Елементи,Лист неръждаема стомана 316L - 5х1250х2500,,,,,,193101,193101-
6762,23,1,6362,2,,Електтролизьор,"Перфорирана ламарина, кръгове 1000х2000х0.5",,,,,,00721431,00721431-
6762,24,1,6366,2,,Електтролизьор,"Уплътнение експ. тефлон ф397х325х0.5, ринг бял",,,,,,-,
6762,25,1,6371,2,,Електтролизьор,"Уплътнение Китай, PTFE 393mm, сиви дебели",,,,,,-,
6762,26,1,6373,2,,Електтролизьор,"Уплътнение Китай, PTFE 1060mm, сиви дебели",,,,,,-,
6762,27,1,6403,2,,Заваръчни Връзки,"Капа 316L заварка (114,3х2) 4``",,,,,,102662,102662-
6762,28,1,6405,2,,Заваръчни Връзки,Капа 316L заварка (168.3x2.0) 6``,,,,,,102664,102664-
6762,29,1,6473,2,Стругарно/Металхидрид,stoki bez grupa,Тапа за бутилка,120226/1,,,L,1.15259085172414,,
6762,30,1,6474,2,Стругарно/Металхидрид,stoki bez grupa,Тапа за бутилка,120226/1,,,L,0.0,,
6762,31,1,6475,2,Стругарно/Металхидрид,stoki bez grupa,Тапа за бутилка,120226/1,,,L,0.0,,
7121,0,1,6476,2,Стругарно/Металхидрид,stoki bez grupa,Тапа за бутилка,,L,1.48,L,1.15,,
7121,1,1,6477,2,,stoki bez grupa,Тапа за бутилка,,L,1.48,L,1.15,,
7121,2,1,6479,2,Стругарно/Металхидрид,stoki bez grupa,Дъно за бутилка,120226/2,,,L,0.928475963888889,,
7121,3,1,6480,2,Стругарно/Металхидрид,stoki bez grupa,Дъно за бутилка,120226/2,,,L,0.0,,
7121,4,1,6481,2,Стругарно/Металхидрид,stoki bez grupa,Дъно за бутилка,120226/2,,,L,0.0,,
7121,5,1,6482,2,Стругарно/Металхидрид,stoki bez grupa,Дъно за бутилка,,L,1.19,L,0.93,,
7121,6,1,6483,2,,stoki bez grupa,Дъно за бутилка,,L,0.0,L,0.93,,
7121,7,1,6485,2,Стругарно/Металхидрид,stoki bez grupa,Тяло на бутилка,120226/3,,,L,3.73137301821314,,
7121,8,1,6486,2,Стругарно/Металхидрид,stoki bez grupa,Тяло на бутилка,120226/3,,,L,0.0,,
7121,9,1,6487,2,Стругарно/Металхидрид,stoki bez grupa,Тяло на бутилка,120226/3,,,L,0.0,,
7121,10,1,6489,2,Склад полуготова продукция,Бутилки Металхидрид,Полуготови бутилки,120226/4,,,L,6.3955641,,
7121,11,1,6490,2,Склад полуготова продукция,Бутилки Металхидрид,Полуготови бутилки,120226/4,,,L,0.0,,
7121,12,1,6491,2,Склад полуготова продукция,Бутилки Металхидрид,Полуготови бутилки,120226/4,,,L,0.0,,
7121,13,1,6493,2,Стругарно/Металхидрид,stoki bez grupa,Пълнеж за бутилка,120226/5,,,L,46.8043157866667,,
7121,14,1,6494,2,Стругарно/Металхидрид,stoki bez grupa,Пълнеж за бутилка,120226/5,,,L,0.0,,
7121,15,1,6495,2,Стругарно/Металхидрид,stoki bez grupa,Пълнеж за бутилка,120226/5,,,L,0.0,,
7121,16,1,6497,2,Металхидрид износ,Готови бутилки,Готови бутилки Металхидрид,120226/6,,,L,176.546711027,,
7121,17,1,6498,2,Металхидрид износ,Готови бутилки,Готови бутилки Металхидрид,120226/6,,,L,0.0,,
7121,18,1,6499,2,Металхидрид износ,Готови бутилки,Готови бутилки Металхидрид,120226/6,,,L,0.0,,
7121,19,1,6500,2,Металхидрид износ,Готови бутилки,Готови бутилки Металхидрид,,L,171.89,L,176.55,,
7121,20,1,6501,2,,Готови бутилки,Готови бутилки Металхидрид,,L,171.89,L,176.55,,
7121,21,1,6502,2,Италия,Готови бутилки,Готови бутилки Металхидрид,,L,171.89,L,176.55,,
7121,22,1,6506,2,,Връзки РР,Разширителен съд под налягане 8л.,,,,M,18.368,,
7121,23,1,6507,2,,Връзки РР,Разширителен съд под налягане 8л.,,,,M,0.0,,
7121,24,1,6508,2,,Връзки РР,Разширителен съд под налягане 8л.,,,,M,0.0,,
7121,25,1,6510,2,,Връзки РР,Разширителен съд под налягане 8л.,,M,18.368,M,18.37,,
7121,26,1,6511,2,,Връзки РР,Капа ф25,,,,M,0.776,,
7121,27,1,6512,2,,Връзки РР,Капа ф25,,,,M,0.0,,
7121,28,1,6513,2,,Връзки РР,Капа ф25,,,,M,0.0,,
7121,29,1,6515,2,,Връзки РР,Капа ф25,,M,0.776,M,0.78,,
7128,0,1,6516,2,,Връзки РР,Вътрешно редуктивен нипел 1 1/2х1`,,,,M,1.288,,
7128,1,1,6517,2,,Връзки РР,Вътрешно редуктивен нипел 1 1/2х1`,,,,M,0.0,,
7128,2,1,6518,2,,Връзки РР,Вътрешно редуктивен нипел 1 1/2х1`,,,,M,0.0,,
7128,3,1,6520,2,,Връзки РР,Вътрешно редуктивен нипел 1 1/2х1`,,M,1.288,M,1.29,,
7128,4,1,6521,2,,Връзки РР,Преход женски 32х3/4`,,,,M,4.376,,
7128,5,1,6522,2,,Връзки РР,Преход женски 32х3/4`,,,,M,0.0,,
7128,6,1,6523,2,,Връзки РР,Преход женски 32х3/4`,,,,M,0.0,,
7128,7,1,6525,2,,Връзки РР,Преход женски 32х3/4`,,M,4.376,M,4.38,,
7128,8,1,6527,2,,М12,шайба цинк  М12,,M,0.014827,M,0.01,,
7128,9,1,6528,2,Склад,М12,шайба цинк  М12,,M,0.014827,M,0.01,,
7128,10,1,6529,2,СКЛАД draft,М12,шайба цинк  М12,,M,0.014827,M,0.01,,
7128,11,1,6530,2,Брикел,М12,шайба цинк  М12,,M,0.014827,M,0.01,,
7128,12,1,6542,2,Склад,01. Продукция,АЕМ-Z 30 kW,,L,0.0,L,5157.27,,
7128,13,1,6543,2,,01. Продукция,АЕМ-Z 30 kW,,L,0.0,L,5157.27,,
7128,14,1,6712,2,СКЛАД draft,Услуги,Буферен съд 500л,,M,2215.59644754401,M,532.5958,,
7128,15,1,6713,2,,Услуги,Буферен съд 500л,,L,4333.33,M,532.5958,,
7128,16,1,6714,2,Склад,Услуги,Буферен съд 500л,,L,4333.33,M,532.5958,,
7128,17,1,6715,2,"Склад производство, 500kW",Услуги,Буферен съд 500л,,M,0.0,M,532.5958,,
7128,18,1,6716,2,"Склад производство, 500kW",Услуги,Буферен съд 500л,,M,0.0,L,0.0,,
7128,19,1,6717,2,"Склад производство, 500kW",Услуги,Буферен съд 500л,,M,0.0,L,0.0,,
7128,20,1,6731,2,,ИФМ,Сензор за поток,,L,1057.0,M,540.435518,,
7128,21,1,6732,2,Склад,ИФМ,Сензор за поток,,L,1057.0,M,540.435518,,
7128,22,1,6733,2,Полша,ИФМ,Сензор за поток,,L,1057.0,M,540.435518,,
7128,23,1,6736,2,СКЛАД draft,Устройства.,Сензор за поток,20010300126,,,M,540.435518,,
7128,24,1,6737,2,СКЛАД draft,Устройства.,Сензор за поток,20010300126,,,L,0.0,,
7128,25,1,6738,2,СКЛАД draft,Устройства.,Сензор за поток,20010300126,,,L,0.0,,
7128,26,1,6740,2,,Метални Елементи,Профилна тръба,,,,M,0.0,,
7128,27,1,6741,2,,Метални Елементи,Профилна тръба,,,,M,0.0,,
7128,28,1,6742,2,,Метални Елементи,Профилна тръба,,,,M,0.0,,
7128,29,1,6745,2,,Метални Елементи,Профилна тръба 60/60/3 ГВ,,M,0.0,M,4.508,,
7128,30,1,6747,2,,Метални Елементи,Винкел ГВ 40/40/3,,M,1.978692,M,6.725,,
7128,31,1,6748,2,Склад,Метални Елементи,Винкел ГВ 40/40/3,,M,1.978692,M,6.725,,
7128,32,1,6749,2,Полша,Метални Елементи,Винкел ГВ 40/40/3,,M,1.978692,M,6.725,,
7128,33,1,6750,2,СКЛАД draft,Метални Елементи,Винкел ГВ 40/40/3,,M,1.978692,M,6.725,,
6112,0,1,6751,2,"Склад производство, 500kW",Метални Елементи,Винкел ГВ 40/40/3,,M,0.0,M,6.725,,
6112,1,1,6752,2,"Склад производство, 500kW",Метални Елементи,Винкел ГВ 40/40/3,,M,0.0,L,0.0,,
6112,2,1,6753,2,"Склад производство, 500kW",Метални Елементи,Винкел ГВ 40/40/3,,M,0.0,L,0.0,,
6112,3,1,6754,2,СКЛАД draft,Метални Елементи,Винкел ГВ 40/40/3,210126,,,M,6.725,,
6112,4,1,6755,2,СКЛАД draft,Метални Елементи,Винкел ГВ 40/40/3,210126,,,L,0.0,,
6112,5,1,6756,2,СКЛАД draft,Метални Елементи,Винкел ГВ 40/40/3,210126,,,L,0.0,,
6112,6,1,6757,2,СКЛАД draft,Метални Елементи,Винкел ГВ 40/40/3,,M,6.725,M,6.72,,
6112,7,1,6758,2,,Метални Елементи,Винкел ГВ 40/40/3,,M,6.725,M,6.72,,
6112,8,1,6759,2,Склад,Метални Елементи,Винкел ГВ 40/40/3,,M,6.725,M,6.72,,
6112,9,1,6760,2,Полша,Метални Елементи,Винкел ГВ 40/40/3,,M,6.725,M,6.72,,
6112,10,1,6761,2,"Склад производство, 500kW",Метални Елементи,Винкел ГВ 40/40/3,,M,6.725,M,6.72,,
6112,11,1,6766,2,СКЛАД draft,Устройства.,Поплавъчен нивомер тип 8181,060226/1,,,M,87.92,,
6112,12,1,6767,2,СКЛАД draft,Устройства.,Поплавъчен нивомер тип 8181,060226/1,,,L,0.0,,
6112,13,1,6768,2,СКЛАД draft,Устройства.,Поплавъчен нивомер тип 8181,060226/1,,,L,0.0,,
6112,14,1,6769,2,СКЛАД draft,Устройства.,Поплавъчен нивомер тип 8181,,M,87.74,M,87.92,,
6112,15,1,6770,2,,Устройства.,Поплавъчен нивомер тип 8181,,M,87.74,M,87.92,,
6112,16,1,6771,2,Склад,Устройства.,Поплавъчен нивомер тип 8181,,M,87.74,M,87.92,,
6112,17,1,6772,2,"Склад производство, 500kW",Устройства.,Поплавъчен нивомер тип 8181,,M,87.74,M,87.92,,
6112,18,1,6773,2,Инструмент за зав. отдел,Устройства.,Поплавъчен нивомер тип 8181,,M,87.74,M,87.92,,
6112,19,1,6774,2,Италия,Устройства.,Поплавъчен нивомер тип 8181,,M,87.74,M,87.92,,
6112,20,1,6779,2,,Електтролизьор,"Полипропиленова тръба ф63, студена вода",,,,,,---,
6112,21,1,6780,2,,Електтролизьор,"Полипропиленова тръба ф63, топла вода",,,,,,--,
6112,22,1,6781,2,,Електтролизьор,Плочи ПП/Заготовки ПП,,,,,,-,
6112,23,1,6782,2,,Електтролизьор,Ламарина 316L - 3х1250х2500,,,,,,-,
6112,24,1,6783,2,,Електтролизьор,Гумен лист 5/1200мм EPDM,,,,,,-,
6112,25,1,6785,2,,Електтролизьор,"Гайка M56x4,   8.8",,,,,,-,
6112,26,1,6786,2,,Електтролизьор,"Шпилка М56х4, 5.5,  L=2000mm",,,,,,-,
6112,27,1,6788,2,,Електтролизьор,"Шпилка М56х4, 8.8, черна  L=2000mm",,,,,,-,
6112,28,1,6789,2,,Връзки РР,Преход мъжки 32х1,,,,,,-,
6112,29,1,6790,2,,Връзки РР,Разглоб. свръзка месинг ф32,,,,,,-,
6112,30,1,6791,2,,Връзки РР,Тройник ф32,,,,,,-,
6112,31,1,6792,2,,Кабели и накрайници.,Гофре ф16,,,,,,-,
6438,0,1,6793,2,,Кабели и накрайници.,"Шкурка CRD руло 5м./115, P120",,,,,,-,
6438,1,1,6794,2,,М8,шайба цинк М8,,,,,,00125 0001 8-,00125 0001 8
6438,2,1,6795,2,,М8,гайка цинк М8,,,,,,00934 8001 8-,00934 8001 8
6438,3,1,6796,2,,М8,болт цинк  М8х16,,,,,,00933 8801 8 16-,00933 8801 8 16
6438,4,1,6797,2,,Метални Елементи,Профилна тръба ЕЗ 100х40х3,,,,,,-,
6438,5,1,6798,2,,Метални Елементи,Профилна тръба ЕЗ 15х15х3,,,,,,-,
6438,6,1,6799,2,,Метални Елементи,"Профилна тръба ЕЗ 30х30х1,5",,,,,,-,
6438,7,1,6800,2,,Метални Елементи,Профилна тръба ЕЗ 40х40х2,,,,,,-,
6438,8,1,6801,2,,Метални Елементи,Профилна тръба ЕЗ 50х50х2,,,,,,-,
6438,9,1,6802,2,,Метални Елементи,Профилна тръба ЕЗ 60х60х2,,,,,,-,
6438,10,1,6803,2,,Услуги,Delivery - Compensator DN 40 304/321 POL. PN 1-,,,,,,-,
6438,11,1,6805,2,,Услуги,Вода 1,,,,,,-,
6438,12,1,6806,2,,Устройства.,Magnetic Contact - магнет. връзка,,,,,,-,
6438,13,1,6807,2,,Устройства.,Magnetic level indicator - магнет. индикатор,,,,,,-,
6438,14,1,6808,2,,Устройства.,Magnetic level transmiter LCD- трансмитер с дисп,,,,,,-,
6438,15,1,6863,2,Склад полуготова продукция,Демистрър 500,Разпробита капа,160226/1,,,L,39.48985450886,,
6438,16,1,6864,2,Склад полуготова продукция,Демистрър 500,Разпробита капа,160226/1,,,L,0.0,,
6438,17,1,6865,2,Склад полуготова продукция,Демистрър 500,Разпробита капа,160226/1,,,L,0.0,,
6438,18,1,6868,2,Склад полуготова продукция,Демистрър 500,Дъно на демистър,160226/2,,,L,51.4496497,,
6438,19,1,6869,2,Склад полуготова продукция,Демистрър 500,Дъно на демистър,160226/2,,,L,0.0,,
6438,20,1,6870,2,Склад полуготова продукция,Демистрър 500,Дъно на демистър,160226/2,,,L,0.0,,
6438,21,1,6873,2,Склад полуготова продукция,Демистрър 500,"Вътрешна част(гъба,кръст,ос)",160226/3,,,L,169.688025745717,,
6438,22,1,6874,2,Склад полуготова продукция,Демистрър 500,"Вътрешна част(гъба,кръст,ос)",160226/3,,,L,0.0,,
6438,23,1,6875,2,Склад полуготова продукция,Демистрър 500,"Вътрешна част(гъба,кръст,ос)",160226/3,,,L,0.0,,
6438,24,1,6878,2,Склад полуготова продукция,Демистрър 500,Тяло на демистър,160226/4,,,L,29.609891055927,,
6438,25,1,6879,2,Склад полуготова продукция,Демистрър 500,Тяло на демистър,160226/4,,,L,0.0,,
6438,26,1,6880,2,Склад полуготова продукция,Демистрър 500,Тяло на демистър,160226/4,,,L,0.0,,
6438,27,1,6881,2,Склад полуготова продукция,Демистрър 500,Тяло на демистър,,L,0.0,L,29.61,,
6438,28,1,6882,2,,Демистрър 500,Тяло на демистър,,L,0.0,L,29.61,,
6438,29,1,6885,2,Склад полуготова продукция,Демистрър 500,Среден фланец с тръба и коляно,160226/5,,,L,16.7773991,,
6438,30,1,6886,2,Склад полуготова продукция,Демистрър 500,Среден фланец с тръба и коляно,160226/5,,,L,0.0,,
6447,0,1,6887,2,Склад полуготова продукция,Демистрър 500,Среден фланец с тръба и коляно,160226/5,,,L,0.0,,
6447,1,1,6888,2,Склад полуготова продукция,Демистрър 500,Среден фланец с тръба и коляно,,L,18.0,L,16.78,,
6447,2,1,6889,2,,Демистрър 500,Среден фланец с тръба и коляно,,L,18.0,L,16.78,,
6447,3,1,6892,2,СКЛАД draft,Демистрър 500,Готов демистър,160226/6,,,M,148.59,,
